event_id,disease,district,upazila,lat,lon,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source,precip_mean_mm,precip_max_mm,precip_sum_mm,precip_climatology_normal_mm,precip_anomaly_mm,rh_mean_pct,rh_max_pct,temp_mean_c,vpd_mean_kpa,wet_persistence_max_days,n_met_days,sar_vv_db_mean,sar_vh_db_mean,n_s1_scenes,ndvi_mean,ndwi_mean,lst_celsius_mean,n_landsat_scenes,water_extent_frac,water_extent_frac_strict,water_extent_frac_max,monsoon_precip_mean_mm,monsoon_precip_max_mm,monsoon_precip_sum_mm,monsoon_precip_climatology_normal_mm,monsoon_precip_anomaly_mm,monsoon_rh_mean_pct,monsoon_rh_max_pct,monsoon_temp_mean_c,monsoon_vpd_mean_kpa,monsoon_wet_persistence_max_days,monsoon_n_met_days,monsoon_sar_vv_db_mean,monsoon_sar_vh_db_mean,monsoon_n_s1_scenes,monsoon_water_extent_frac,monsoon_water_extent_frac_strict,monsoon_water_extent_frac_max,monsoon_ndvi_mean,monsoon_ndwi_mean,monsoon_lst_celsius_mean,monsoon_n_landsat_scenes
RB_Dinajpur_Birganj_2017,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2017,2017,2016-12-01,2017-03-15,1,22.0,7.0,26.0,8.0,,,,LBI=22% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3041904761904762,15.85,31.94,0.2763325635103926,0.0278579126800835,58.40838095238095,84.83,19.44352380952381,1.043072674176479,1.0,105,-7.804716468101534,-15.615104650244705,6,0.4347915919376941,-0.4020693883853562,23.75783926777345,4.0,0.1367320895061068,0.1042740936726605,0.3321588357724643,15.324262295081969,83.62,1869.56,11.974142857142857,3.35011943793911,86.89844262295082,94.78,28.693278688524593,0.542591339353738,96.0,122.0,-6.777663120675993,,5.0,0.0734580752733434,0.0640174413151686,0.3129406629809522,0.3626338480449117,-0.3311534433976075,32.98910351351564,4.0
RB_Dinajpur_Birganj_2018,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2018,2018,2017-12-01,2018-03-15,1,14.0,8.0,24.0,6.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1121904761904761,3.2,11.78,0.2736397228637414,-0.1614492466732652,60.5684761904762,88.75,18.79171428571429,0.955020619189346,3.0,105,-7.710708688574599,-15.69442521770116,6,0.4390527228726657,-0.4494499997268759,28.141613475371106,4.0,0.1066806206383605,0.0727252619958836,0.4491417203231487,14.88270491803279,213.3,1815.6900000000005,11.993059523809524,2.889645394223267,87.68204918032787,96.01,28.634918032786885,0.5102707130429848,101.0,122.0,-7.554812237170752,,5.0,0.1774011169599071,0.1688091941174486,0.4300321908729407,0.3270411391697191,-0.2961438636010645,29.546431934375033,4.0
RB_Dinajpur_Birganj_2019,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2019,2019,2018-12-01,2019-03-15,1,17.0,10.0,28.0,5.0,,,,LBI=17% >= 15%; NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3454285714285715,7.09,36.27,0.2736397228637414,0.07178884856483,53.99895238095238,87.7,19.331714285714288,1.1290697592059158,1.0,105,-7.196897389097246,-15.32682838873346,6,0.3594556962122109,-0.401154737845143,25.73362172328126,4.0,0.0357882655213847,0.0032053663676702,0.0640431193019525,12.547131147540984,66.9,1530.75,11.993059523809524,0.5540716237314616,86.9316393442623,93.56,28.78090163934426,0.5397344402262283,85.0,122.0,-7.038609824982563,,5.0,0.0161573610905961,0.0035814986965706,0.0251074803380678,0.4120315655356143,-0.3953267768383788,24.581809065664075,4.0
RB_Dinajpur_Kaharole_2017,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2017,2017,2016-12-01,2017-03-15,1,19.0,8.0,24.0,9.0,,,,LBI=19% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3041904761904762,15.85,31.94,0.2763325635103926,0.0278579126800835,58.40838095238095,84.83,19.44352380952381,1.043072674176479,1.0,105,-7.580115703545611,-14.9540250556207,6,0.4243789216056812,-0.3931244521672163,24.69556504378907,4.0,0.0522775344414495,0.0071320331523366,0.0982258828469862,15.324262295081969,83.62,1869.56,11.974142857142857,3.35011943793911,86.89844262295082,94.78,28.693278688524593,0.542591339353738,96.0,122.0,-7.165468631295281,,5.0,0.0150876254931833,0.0042109799210906,0.0192359808976913,0.3535643981541615,-0.3224562406645219,34.25248470546876,4.0
RB_Dinajpur_Kaharole_2018,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2018,2018,2017-12-01,2018-03-15,1,15.0,9.0,22.0,11.0,,,,LBI=15% >= 15%; NBI=9% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1121904761904761,3.2,11.78,0.2736397228637414,-0.1614492466732652,60.5684761904762,88.75,18.79171428571429,0.955020619189346,3.0,105,-19.128859190271218,-26.953683280696243,6,0.4491272280233992,-0.4599038586658472,28.75217732533207,4.0,0.3696353088336784,0.3381620131645768,1.0,14.88270491803279,213.3,1815.6900000000005,11.993059523809524,2.889645394223267,87.68204918032787,96.01,28.634918032786885,0.5102707130429848,101.0,122.0,-20.89785138727545,,5.0,0.4074067834681042,0.4017045343568107,1.0,0.2998909339516792,-0.2679303698945187,33.606639145156294,4.0
RB_Dinajpur_Kaharole_2019,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2019,2019,2018-12-01,2019-03-15,1,20.0,11.0,25.0,10.0,,,,LBI=20% >= 15%; NBI=11% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3454285714285715,7.09,36.27,0.2736397228637414,0.07178884856483,53.99895238095238,87.7,19.331714285714288,1.1290697592059158,1.0,105,-7.6283709123725485,-14.980090011343847,6,0.3464755262596751,-0.3899697577300796,26.143260071386734,4.0,0.0511998149341771,0.006728371550972,0.0881070793781007,12.547131147540984,66.9,1530.75,11.993059523809524,0.5540716237314616,86.9316393442623,93.56,28.78090163934426,0.5397344402262283,85.0,122.0,-7.293509353733812,,5.0,0.0153478895659986,0.0035019678503066,0.0230648658150709,0.3496576326688599,-0.3316815406881817,32.83438025140629,4.0
RB_Dinajpur_Sadar_2017,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2017,2017,2016-12-01,2017-03-15,1,17.0,8.0,6.0,6.0,,,,LBI=17% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2505714285714286,11.91,26.31,0.2495889145496536,0.000982514021775,60.02885714285715,84.47,19.361714285714285,1.0138078180130985,1.0,105,-8.937157159780492,-15.968865597801171,6,0.311966858793035,-0.3141066005328469,26.71939337808595,4.0,0.2240600463643229,0.1780972292976296,0.5521333405253789,11.722704918032788,86.46,1430.17,9.87653968253968,1.8461652354931068,85.77975409836066,93.72,28.846065573770495,0.6020793204823705,98.0,122.0,-6.951312269073519,,5.0,0.1239329241041375,0.1106684155028529,0.5255803470813613,0.3072830604812085,-0.2838947012950679,35.49003047281252,4.0
RB_Dinajpur_Sadar_2018,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2018,2018,2017-12-01,2018-03-15,1,13.0,10.0,5.0,7.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1827619047619047,8.4,19.19,0.2472794457274826,-0.0645175409655779,63.21895238095237,90.88,18.669142857142855,0.8999012798903103,4.0,105,-8.734855938883465,-15.772935459229096,6,0.4371959967264261,-0.4289031103139356,28.81292395226562,4.0,0.1648336206303092,0.1154786434168883,0.6832877472049611,12.515409836065574,162.69,1526.88,9.898722222222222,2.616687613843352,87.6188524590164,95.39,28.698934426229513,0.5176382616249333,97.0,122.0,-8.66950735044928,,5.0,0.271182241967247,0.2602894260906031,0.6526427277135493,0.2848938042480056,-0.2453412817552674,18.733056131679703,4.0
RB_Dinajpur_Sadar_2019,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2019,2019,2018-12-01,2019-03-15,1,18.0,12.0,11.0,5.0,,,,LBI=18% >= 15%; NBI=12% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3106666666666666,7.26,32.62,0.2472794457274826,0.063387220939184,53.63314285714285,89.7,19.56819047619048,1.1705056044515798,1.0,105,-8.130832951133408,-15.303947907377774,6,0.3162599576656127,-0.3665487956687948,25.355369744375025,4.0,0.0803389561432164,0.0117482975484085,0.1345413672127797,9.443688524590163,49.65,1152.13,9.898722222222222,-0.4550336976320572,86.70631147540982,93.72,28.869590163934433,0.5528162820037704,88.0,122.0,-6.958931164356111,,5.0,0.0197498135060529,0.0077300642892533,0.0235519688644688,0.5008402642601422,-0.454109556126594,34.34324025734375,4.0
RB_Rangpur_Taraganj_2017,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2017,2017,2016-12-01,2017-03-15,1,13.0,8.0,18.0,3.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3041904761904762,15.85,31.94,0.2763325635103926,0.0278579126800835,58.40838095238095,84.83,19.44352380952381,1.043072674176479,1.0,105,-8.853183212247428,-16.84378190633421,6,0.3759147589382325,-0.3554525557594383,24.268516156308607,4.0,0.2844842642993444,0.2737429306701952,0.8221830318998935,15.324262295081969,83.62,1869.56,11.974142857142857,3.35011943793911,86.89844262295082,94.78,28.693278688524593,0.542591339353738,96.0,122.0,-6.684663220007391,,5.0,0.0314863613924563,0.0199491474724175,0.081417474424123,0.3771195523278215,-0.3419132165709868,38.22193191382814,3.0
