event_id,disease,district,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source,precip_mean_mm,precip_max_mm,precip_sum_mm,precip_climatology_normal_mm,precip_anomaly_mm,rh_mean_pct,rh_max_pct,temp_mean_c,vpd_mean_kpa,wet_persistence_max_days,n_met_days,sar_vv_db_mean,sar_vh_db_mean,n_s1_scenes,ndvi_mean,ndwi_mean,lst_celsius_mean,n_landsat_scenes
RB_Dinajpur_2017,rice_blast,Dinajpur,Boro 2017,2017,2016-12-01,2017-03-15,1,19.33,7.7,18.67,7.67,,,,LBI=19.33% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2505714285714286,11.91,26.31,0.2495889145496536,0.000982514021775,60.02885714285715,84.47,19.361714285714285,1.0138078180130985,1.0,105,-7.343291316758614,-14.831444467695755,6,0.2996874392294435,-0.2980504676229484,25.8591538484375,4.0
RB_Dinajpur_2018,rice_blast,Dinajpur,Boro 2018,2018,2017-12-01,2018-03-15,1,14.0,9.23,17.0,8.0,,,,NBI=9.23% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1827619047619047,8.4,19.19,0.2472794457274826,-0.0645175409655779,63.21895238095237,90.88,18.669142857142855,0.8999012798903103,4.0,105,-7.296538320290995,-14.884439822968533,6,0.3859401059216719,-0.387963872815962,28.13533820427736,4.0
RB_Dinajpur_2019,rice_blast,Dinajpur,Boro 2019,2019,2018-12-01,2019-03-15,1,18.33,11.33,21.33,6.67,,,,LBI=18.33% >= 15%; NBI=11.33% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3106666666666666,7.26,32.62,0.2472794457274826,0.0633872209391839,53.63314285714285,89.7,19.56819047619048,1.1705056044515798,1.0,105,-7.255726584748213,-15.00834102488831,6,0.305262631202042,-0.3602919636016141,25.526948340136727,4.0
RB_Rangpur_2017,rice_blast,Rangpur,Boro 2017,2017,2016-12-01,2017-03-15,1,15.33,7.37,13.33,5.0,,,,LBI=15.33% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.293047619047619,17.86,30.77,0.2784341801385681,0.0146134389090509,59.74190476190477,83.19,20.201523809523813,1.0547745675368017,1.0,105,-12.038190182054622,-19.74258197177546,6,0.5591706265780576,-0.4963595587007726,23.629306361386725,4.0
RB_Rangpur_2018,rice_blast,Rangpur,Boro 2018,2018,2017-12-01,2018-03-15,1,8.67,8.7,12.0,4.67,,,,NBI=8.7% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2833333333333333,12.0,29.75,0.2761293302540415,0.0072040030792918,65.17333333333333,89.88,19.316857142857145,0.8739749324226782,5.0,105,-11.608714791314783,-19.599999010491786,6,0.4799095965903838,-0.4585751318523492,27.97037200853518,4.0
RB_Rangpur_2019,rice_blast,Rangpur,Boro 2019,2019,2018-12-01,2019-03-15,1,18.0,10.33,14.67,4.67,,,,LBI=18.0% >= 15%; NBI=10.33% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3656190476190476,7.07,38.39,0.2761293302540415,0.0894897173650061,56.91209523809523,88.24,19.958095238095236,1.1178156702399349,1.0,105,-4.728578802763404,-13.007242762621486,6,0.4391637842608798,-0.4249932027185586,23.24147124242188,4.0
RB_Bogura_2017,rice_blast,Bogura,Boro 2017,2017,2016-12-01,2017-03-15,0,13.67,4.17,16.0,7.33,,,,LBI=13.67% < 15% and NBI=4.17% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3356190476190476,22.61,35.239999999999995,0.329866050808314,0.0057529968107335,61.749333333333325,83.71,20.12933333333334,1.005065332247973,1.0,105,-6.269635899601543,-14.034226633923318,6,0.337383454881932,-0.3328650785653278,25.62339725410159,4.0
RB_Bogura_2018,rice_blast,Bogura,Boro 2018,2018,2017-12-01,2018-03-15,0,7.67,4.73,11.0,6.67,,,,LBI=7.67% < 15% and NBI=4.73% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.5963809523809523,21.08,62.62,0.3268314087759815,0.2695495436049708,68.16514285714285,92.79,19.138,0.787404557778852,4.0,105,-5.677989022628803,-13.731104682685777,6,0.4476774448440255,-0.4339153106713018,27.927399753183607,4.0
RB_Bogura_2019,rice_blast,Bogura,Boro 2019,2019,2018-12-01,2019-03-15,1,15.67,5.63,16.33,5.67,,,,LBI=15.67% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.4099047619047619,10.57,43.04,0.3268314087759815,0.0830733531287803,57.1807619047619,89.71,20.06047619047619,1.1164281924137427,1.0,105,-5.853223544107002,-13.9736759392027,6,0.3897869873299325,-0.3717925052557775,24.016120079843773,4.0
RB_Natore_2017,rice_blast,Natore,Boro 2017,2017,2016-12-01,2017-03-15,0,12.67,1.72,22.0,5.67,,,,LBI=12.67% < 15% and NBI=1.72% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2369523809523809,16.5,24.879999999999995,0.3249422632794457,-0.0879898823270648,59.487428571428566,83.57,19.94714285714286,1.0686129460934686,1.0,105,-6.811168568496629,-13.870657155773577,6,0.5221472586313258,-0.4791376743306769,26.57874051992188,4.0
RB_Natore_2018,rice_blast,Natore,Boro 2018,2018,2017-12-01,2018-03-15,0,7.67,2.35,14.0,5.67,,,,LBI=7.67% < 15% and NBI=2.35% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.5898095238095238,26.58,61.93,0.3200969976905311,0.2697125261189926,65.30438095238095,92.41,18.84152380952381,0.8569360612394595,3.0,105,-6.18836173823809,-13.292712238253973,6,0.5124713196579517,-0.4822930035970585,28.24596656058597,4.0
RB_Natore_2019,rice_blast,Natore,Boro 2019,2019,2018-12-01,2019-03-15,0,12.0,2.9,20.67,5.0,,,,LBI=12.0% < 15% and NBI=2.9% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.5105714285714286,13.93,53.61,0.3200969976905311,0.1904744308808974,52.50771428571428,89.59,19.992761904761903,1.225323829429189,3.0,105,-7.008614066436218,-13.63116100609495,4,0.48591027920149366,-0.44366470839833155,24.281070036406263,4.0
RB_Meherpur_2017,rice_blast,Meherpur,Boro 2017,2017,2016-12-01,2017-03-15,1,15.0,1.77,9.67,3.0,,,,LBI=15.0% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2645714285714285,19.24,27.78,0.3918429561200924,-0.1272715275486639,57.60838095238095,82.27,20.45638095238095,1.1575196615942382,1.0,105,-8.922134169981883,-15.63177961625834,6,0.4304934530170515,-0.4018805872871565,24.748190535312517,4.0
RB_Meherpur_2018,rice_blast,Meherpur,Boro 2018,2018,2017-12-01,2018-03-15,0,10.67,3.43,5.33,3.67,,,,LBI=10.67% < 15% and NBI=3.43% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.7017142857142857,36.27,73.68,0.3846789838337182,0.3170353018805675,64.464,92.49,19.19647619047619,0.9062847634992202,4.0,105,-9.138576308808071,-15.760601925860888,6,0.513603085623843,-0.4791859769794906,26.869348991855475,4.0
RB_Meherpur_2019,rice_blast,Meherpur,Boro 2019,2019,2018-12-01,2019-03-15,0,14.67,3.65,10.67,2.33,,,,LBI=14.67% < 15% and NBI=3.65% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.7300000000000001,16.92,76.65,0.3846789838337182,0.3453210161662818,52.1924761904762,89.89,20.27819047619048,1.2481952420010576,4.0,105,-7.196233343213803,-13.831683624115051,6,0.4462710772157659,-0.4050696574069802,23.689689156113303,4.0
RB_Rajbari_2017,rice_blast,Rajbari,Boro 2017,2017,2016-12-01,2017-03-15,0,11.0,3.37,7.67,2.0,,,,LBI=11.0% < 15% and NBI=3.37% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.5485714285714286,39.21,57.6,0.4496535796766743,0.0989178488947542,60.73838095238096,84.5,20.610952380952376,1.0730014760065971,1.0,105,-20.206583460699974,-26.96183901093833,6,0.3984272927597181,-0.3862479878289354,28.592027733945315,4.0
RB_Rajbari_2018,rice_blast,Rajbari,Boro 2018,2018,2017-12-01,2018-03-15,0,6.67,5.33,4.0,2.0,,,,LBI=6.67% < 15% and NBI=5.33% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.9983809523809524,46.59,104.83,0.4413995381062356,0.5569814142747167,67.56657142857144,92.78,19.45695238095238,0.8294300175828115,4.0,105,-26.20211786125096,-32.9854716459561,4,0.423118480162059,-0.4027815796500037,28.163246471093757,4.0
RB_Rajbari_2019,rice_blast,Rajbari,Boro 2019,2019,2018-12-01,2019-03-15,0,13.33,7.43,7.33,1.67,,,,LBI=13.33% < 15% and NBI=7.43% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.8494285714285713,19.56,89.18999999999998,0.4413995381062356,0.4080290333223357,55.929142857142864,90.28,20.39257142857143,1.159150841517347,4.0,105,-7.0723793814980995,-14.307794326965492,6,0.34250813904413946,-0.31286259481759604,23.995878992656273,4.0
RB_Mymensingh_2017,rice_blast,Mymensingh,Boro 2017,2017,2016-12-01,2017-03-15,0,11.33,1.7,10.33,7.33,,,,LBI=11.33% < 15% and NBI=1.7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,1.342,59.69,140.91,0.6157921478060047,0.7262078521939954,63.784952380952376,86.52,20.75895238095238,0.9753409278699248,3.0,105,-5.3123878650262535,-13.002324666446372,6,0.3744903675522124,-0.3589787269473198,25.61441159996096,4.0
RB_Mymensingh_2018,rice_blast,Mymensingh,Boro 2018,2018,2017-12-01,2018-03-15,0,6.67,2.27,6.33,6.67,,,,LBI=6.67% < 15% and NBI=2.27% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,1.5272380952380953,54.27,160.36,0.6072979214780599,0.9199401737600352,72.56161904761905,93.84,19.482380952380954,0.7010923926416558,6.0,105,-4.653383683654525,-12.651397890882798,6,0.4062001176424066,-0.3656144740400765,26.05365387324221,4.0
RB_Mymensingh_2019,rice_blast,Mymensingh,Boro 2019,2019,2018-12-01,2019-03-15,0,13.0,2.97,12.0,4.33,,,,LBI=13.0% < 15% and NBI=2.97% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.9807619047619046,23.18,102.98,0.6072979214780599,0.3734639832838446,59.55504761904761,91.48,20.1407619047619,1.0429040107222696,3.0,105,-4.53004155388363,-12.785207041741211,6,0.399308530451552,-0.3921634376660436,24.804027096406287,4.0
RB_Jashore_2017,rice_blast,Jashore,Boro 2017,2017,2016-12-01,2017-03-15,0,8.33,1.2,6.67,2.0,,,,LBI=8.33% < 15% and NBI=1.2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.883904761904762,59.85,92.81,0.5731177829099307,0.3107869789948313,61.66504761904762,86.4,20.69485714285715,1.0695900396220113,2.0,105,-6.725934436922515,-13.87061045236121,6,0.3380476540265085,-0.3227897731438866,24.36703457457034,4.0
RB_Jashore_2018,rice_blast,Jashore,Boro 2018,2018,2017-12-01,2018-03-15,0,5.0,1.67,4.0,2.67,,,,LBI=5.0% < 15% and NBI=1.67% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.9354285714285714,38.47,98.22,0.5574688221709008,0.3779597492576706,67.13533333333334,93.07,19.796190476190475,0.8945613339505092,5.0,105,-6.715501240822859,-13.96432105349502,6,0.4615135515017616,-0.4258979018615029,24.411832666777343,4.0
