event_id,disease,district,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source
RB_Dinajpur_2017,rice_blast,Dinajpur,Boro 2017,2017,2016-12-01,2017-03-15,1,19.33,7.7,18.67,7.67,,,,LBI=19.33% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_2018,rice_blast,Dinajpur,Boro 2018,2018,2017-12-01,2018-03-15,1,14,9.23,17,8,,,,NBI=9.23% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_2019,rice_blast,Dinajpur,Boro 2019,2019,2018-12-01,2019-03-15,1,18.33,11.33,21.33,6.67,,,,LBI=18.33% >= 15%; NBI=11.33% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_2017,rice_blast,Rangpur,Boro 2017,2017,2016-12-01,2017-03-15,1,15.33,7.37,13.33,5,,,,LBI=15.33% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_2018,rice_blast,Rangpur,Boro 2018,2018,2017-12-01,2018-03-15,1,8.67,8.7,12,4.67,,,,NBI=8.7% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_2019,rice_blast,Rangpur,Boro 2019,2019,2018-12-01,2019-03-15,1,18,10.33,14.67,4.67,,,,LBI=18.0% >= 15%; NBI=10.33% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_2017,rice_blast,Bogura,Boro 2017,2017,2016-12-01,2017-03-15,0,13.67,4.17,16,7.33,,,,LBI=13.67% < 15% and NBI=4.17% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_2018,rice_blast,Bogura,Boro 2018,2018,2017-12-01,2018-03-15,0,7.67,4.73,11,6.67,,,,LBI=7.67% < 15% and NBI=4.73% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_2019,rice_blast,Bogura,Boro 2019,2019,2018-12-01,2019-03-15,1,15.67,5.63,16.33,5.67,,,,LBI=15.67% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_2017,rice_blast,Natore,Boro 2017,2017,2016-12-01,2017-03-15,0,12.67,1.72,22,5.67,,,,LBI=12.67% < 15% and NBI=1.72% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
