event_id,disease,district,upazila,lat,lon,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source
RB_Dinajpur_Birganj_2017,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2017,2017,2016-12-01,2017-03-15,1,22.0,7.0,26.0,8.0,,,,LBI=22% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Birganj_2018,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2018,2018,2017-12-01,2018-03-15,1,14.0,8.0,24.0,6.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Birganj_2019,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2019,2019,2018-12-01,2019-03-15,1,17.0,10.0,28.0,5.0,,,,LBI=17% >= 15%; NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Kaharole_2017,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2017,2017,2016-12-01,2017-03-15,1,19.0,8.0,24.0,9.0,,,,LBI=19% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Kaharole_2018,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2018,2018,2017-12-01,2018-03-15,1,15.0,9.0,22.0,11.0,,,,LBI=15% >= 15%; NBI=9% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Kaharole_2019,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2019,2019,2018-12-01,2019-03-15,1,20.0,11.0,25.0,10.0,,,,LBI=20% >= 15%; NBI=11% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Sadar_2017,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2017,2017,2016-12-01,2017-03-15,1,17.0,8.0,6.0,6.0,,,,LBI=17% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Sadar_2018,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2018,2018,2017-12-01,2018-03-15,1,13.0,10.0,5.0,7.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Dinajpur_Sadar_2019,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2019,2019,2018-12-01,2019-03-15,1,18.0,12.0,11.0,5.0,,,,LBI=18% >= 15%; NBI=12% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Taraganj_2017,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2017,2017,2016-12-01,2017-03-15,1,13.0,8.0,18.0,3.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Taraganj_2018,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2018,2018,2017-12-01,2018-03-15,1,6.0,9.0,17.0,2.0,,,,NBI=9% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Taraganj_2019,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2019,2019,2018-12-01,2019-03-15,1,12.0,10.0,20.0,4.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Badarganj_2017,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2017,2017,2016-12-01,2017-03-15,1,15.0,8.0,14.0,5.0,,,,LBI=15% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Badarganj_2018,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2018,2018,2017-12-01,2018-03-15,1,12.0,10.0,12.0,4.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
