district,upazila,season,year,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,source
Dinajpur,Birganj,Boro,2017,22,7,26,8,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Birganj,Boro,2018,14,8,24,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Birganj,Boro,2019,17,10,28,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Kaharole,Boro,2017,19,8,24,9,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Kaharole,Boro,2018,15,9,22,11,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Kaharole,Boro,2019,20,11,25,10,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Sadar,Boro,2017,17,8,6,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Sadar,Boro,2018,13,10,5,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Dinajpur,Sadar,Boro,2019,18,12,11,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Taraganj,Boro,2017,13,8,18,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Taraganj,Boro,2018,6,9,17,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Taraganj,Boro,2019,12,10,20,4,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Badarganj,Boro,2017,15,8,14,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Badarganj,Boro,2018,12,10,12,4,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Badarganj,Boro,2019,21,11,15,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Kaunia,Boro,2017,18,6,8,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Kaunia,Boro,2018,8,7,7,8,Mahmud et al. (2021) SAJBR 4(1):01-13
Rangpur,Kaunia,Boro,2019,21,10,9,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Shibganj,Boro,2017,21,3,20,9,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Shibganj,Boro,2018,11,3,10,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Shibganj,Boro,2019,19,4,18,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Sadar,Boro,2017,11,3,16,8,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Sadar,Boro,2018,6,4,13,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Sadar,Boro,2019,17,4,18,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Adamdighi,Boro,2017,9,7,12,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Adamdighi,Boro,2018,6,7,10,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Bogura,Adamdighi,Boro,2019,11,8,13,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Sadar,Boro,2017,16,1,22,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Sadar,Boro,2018,12,2,12,9,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Sadar,Boro,2019,18,2,20,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Singra,Boro,2017,12,2,23,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Singra,Boro,2018,6,3,13,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Singra,Boro,2019,9,3,20,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Baraigram,Boro,2017,10,2,21,4,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Baraigram,Boro,2018,5,3,17,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Natore,Baraigram,Boro,2019,9,3,22,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Sadar,Boro,2017,18,2,10,4,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Sadar,Boro,2018,12,2,3,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Sadar,Boro,2019,15,2,9,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Mujibnagar,Boro,2017,15,1,9,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Mujibnagar,Boro,2018,11,2,6,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Mujibnagar,Boro,2019,16,2,12,4,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Gangni,Boro,2017,12,2,10,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Gangni,Boro,2018,9,7,7,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Meherpur,Gangni,Boro,2019,13,7,11,1,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Pangsha,Boro,2017,9,3,8,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Pangsha,Boro,2018,4,6,2,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Pangsha,Boro,2019,11,8,7,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Sadar,Boro,2017,11,3,7,1,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Sadar,Boro,2018,9,5,4,1,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Sadar,Boro,2019,14,7,6,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Kalukhali,Boro,2017,13,4,8,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Kalukhali,Boro,2018,7,6,6,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Rajbari,Kalukhali,Boro,2019,15,7,9,1,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Sadar,Boro,2017,15,1,10,9,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Sadar,Boro,2018,8,1,6,7,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Sadar,Boro,2019,14,2,9,4,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Ishwarganj,Boro,2017,8,2,6,8,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Ishwarganj,Boro,2018,5,3,4,9,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Ishwarganj,Boro,2019,13,3,13,6,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Gauripur,Boro,2017,11,2,15,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Mymensingh,Gauripur,Boro,2018,7,3,9,4,Mahmud et al. (2021) SAJBR 4(1):01-13
